Iteration   Cost 	vi_1 	vi_2 	vi_3 	vi_4 	vi_5 	vi_6 	vi_7 	vi_8 	vi_9 	vi_10 	vi_11 	vi_12 	vi_13 	vi_14 	vi_15 	vi_16 	vi_17 	vi_18 	vi_19 	vi_20 	vi_21 	vi_22 	vi_23 	vi_24 	vi_25 	vi_26 	vi_27 	vi_28 	vi_29 	vi_30
29 	9875359.446943957 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0 	25.0
30 	9696531.09235165 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0 	25.0
31 	9627873.141856635 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	1025.0
32 	8716586.54362059 	24.999999999999847 	25.00000000000005 	25.00000000000217 	3739.6541786043413 	191.81594111241836 	24.999999999999506 	24.999999999999332 	24.999999999999794 	25.000000000005357 	24.99999999999843 	24.99999999999972 	24.999999999998693 	25.00000000000061 	276.01922328414753 	24.999999999998852 	548.2719711793425 	25.000000000001506 	25.00000000000329 	25.000000000000934 	389.1605882601814 	25.00000000000008 	845.8705627756743 	24.999999999999737 	24.999999999999684 	24.99999999999881 	24.999999999999524 	25.000000000000263 	24.9999999999985 	4056.895970666791 	1152.3115641171005
33 	8483559.763752885 	25.000000000000256 	24.999999999999105 	25.00000000000384 	6846.43153225952 	341.5684867707529 	24.999999999998703 	24.999999999998963 	24.999999999999336 	25.000000000004547 	24.99999999999813 	24.999999999999474 	24.999999999998273 	25.00000000000388 	387.23143272870624 	24.99999999999748 	956.5890230651779 	25.000000000000806 	25.000000000002743 	25.000000000000668 	711.4075538692452 	24.999999999999616 	1612.8593510033015 	24.99999999999955 	24.99999999999572 	24.999999999998252 	24.99999999999975 	25.000000000000256 	24.999999999995236 	7573.424390869787 	1261.934357763949
34 	8365985.782092578 	24.99999999999906 	24.999999999999076 	25.000000000002714 	9034.646260782494 	489.85130244040107 	24.999999999999734 	24.999999999999545 	24.99999999999963 	25.00000000000364 	24.999999999996724 	24.999999999998927 	24.999999999996994 	25.000000000004135 	486.61475373887527 	24.999999999994763 	1266.045152889479 	25.00000000000206 	25.000000000003592 	25.000000000000462 	970.3135066462785 	24.99999999999785 	2205.777118435033 	24.99999999999997 	24.99999999999199 	24.999999999997197 	24.999999999999773 	25.000000000000203 	24.999999999990276 	10062.18255773184 	1353.1849972222
35 	8287576.43561425 	24.99999999999842 	25.000000000000124 	25.000000000002842 	9827.538566945048 	651.7295374854252 	24.99999999999915 	24.999999999999503 	24.99999999999953 	25.00000000000267 	24.999999999995666 	24.999999999999204 	24.999999999997847 	25.000000000002963 	591.2492089002474 	24.999999999992244 	1441.789390500313 	25.000000000001762 	25.0000000000015 	25.000000000001094 	1149.5821559687433 	24.999999999997428 	2563.9003241594355 	24.99999999999989 	24.999999999989686 	24.999999999997584 	25.000000000000302 	25.000000000000153 	24.999999999982624 	11107.472868945057 	1423.8620544207051
36 	8215103.1968865795 	24.999999999997872 	25.00000000000101 	25.00000000000175 	7133.120677467334 	648.4310781658105 	24.999999999999403 	24.999999999999588 	24.999999999999886 	25.000000000003812 	24.999999999991957 	24.999999999999538 	24.999999999998355 	25.000000000002125 	435.60462888214346 	24.999999999987132 	1937.726393298906 	25.000000000001492 	25.000000000001183 	25.000000000000867 	1378.2028679417492 	24.999999999996565 	2965.691131696818 	25.000000000000657 	24.999999999985832 	24.999999999999172 	25.00000000000046 	25.000000000000206 	24.999999999969837 	14979.32758015026 	1509.0116769660306
37 	8175814.351734383 	24.999999999999098 	24.999999999999744 	25.00000000000186 	5235.968095608419 	653.8671028301005 	24.99999999999979 	24.999999999999595 	25.000000000000014 	25.000000000004558 	24.999999999988127 	24.99999999999953 	24.99999999999867 	25.000000000001545 	326.0145322654176 	24.999999999979742 	2177.625643823194 	24.99999999999946 	25.00000000000114 	25.00000000000154 	1497.3931244368414 	24.999999999995847 	3141.6067792511067 	25.000000000000064 	24.99999999997698 	24.99999999999888 	25.000000000000032 	25.000000000000238 	24.99999999995472 	16790.548383632795 	1561.9384408674564
38 	8199519.911141039 	24.999999999998856 	24.99999999999953 	25.000000000000732 	3927.38897837776 	684.052569324715 	24.99999999999859 	25.000000000000323 	25.00000000000022 	25.000000000004725 	24.999999999982993 	24.999999999999677 	24.999999999998877 	25.000000000001737 	255.8629814844414 	24.999999999971706 	2177.568755591304 	24.999999999999968 	25.00000000000075 	25.000000000000426 	1519.471648738799 	24.999999999994923 	3110.1156179676436 	24.999999999999396 	24.99999999996833 	24.99999999999986 	24.999999999999737 	25.000000000000245 	24.999999999935824 	16583.194445476933 	1591.541490435535
39 	8198352.762925778 	24.999999999998984 	24.999999999999634 	25.000000000001293 	4581.678536993086 	668.9598360774073 	24.99999999999919 	24.99999999999996 	25.00000000000012 	25.000000000004647 	24.999999999985558 	24.999999999999602 	24.999999999998778 	25.000000000001638 	290.93875687492977 	24.999999999975724 	2177.5971997072447 	24.999999999999705 	25.00000000000095 	25.000000000000977 	1508.4323865878212 	24.99999999999539 	3125.861198609376 	24.999999999999734 	24.99999999997266 	24.999999999999375 	24.99999999999989 	25.000000000000238 	24.999999999945278 	16686.87141455486 	1576.7399656514951
40 	8196930.888537177 	24.999999999999034 	24.999999999999687 	25.000000000001585 	4908.823316300753 	661.4134694537539 	24.99999999999948 	24.999999999999776 	25.000000000000068 	25.000000000004604 	24.999999999986844 	24.999999999999563 	24.99999999999872 	25.0000000000016 	308.47664457017385 	24.999999999977728 	2177.6114217652207 	24.999999999999588 	25.000000000001048 	25.000000000001258 	1502.9127555123314 	24.999999999995612 	3133.7339889302416 	24.999999999999893 	24.999999999974815 	24.99999999999913 	24.99999999999996 	25.000000000000234 	24.999999999949992 	16738.70989909384 	1569.3392032594763
41 	8205848.484713761 	24.999999999999073 	24.999999999999716 	25.000000000001716 	5072.395705954587 	657.6402861419272 	24.999999999999634 	24.999999999999684 	25.000000000000043 	25.000000000004583 	24.999999999987484 	24.999999999999552 	24.999999999998693 	25.000000000001567 	317.2455884177957 	24.999999999978737 	2177.6185327942085 	24.99999999999952 	25.00000000000109 	25.000000000001393 	1500.152939974586 	24.999999999995726 	3137.670384090674 	24.99999999999998 	24.9999999999759 	24.999999999999 	24.999999999999996 	25.000000000000238 	24.99999999995236 	16764.62914136332 	1565.6388220634663
42 	8202109.982074396 	24.99999999999908 	24.999999999999737 	25.000000000001787 	5154.181900781504 	655.7536944860138 	24.999999999999716 	24.99999999999964 	25.00000000000003 	25.00000000000457 	24.999999999987804 	24.999999999999535 	24.99999999999869 	25.000000000001556 	321.63006034160657 	24.99999999997924 	2177.6220883087003 	24.999999999999485 	25.000000000001116 	25.00000000000147 	1498.7730322057134 	24.999999999995786 	3139.638581670891 	25.00000000000002 	24.999999999976435 	24.999999999998945 	25.000000000000018 	25.000000000000238 	24.999999999953545 	16777.588762498053 	1563.7886314654613
