Iteration   Cost 	bf_1 	bf_2 	bf_3 	bf_4 	bf_5 	bf_6 	bf_7 	bf_8 	bf_9 	bf_10 	bf_11 	bf_12 	bf_13 	bf_14 	bf_15 	bf_16 	depth_1 	depth_2 	depth_3 	depth_4 	depth_5 	depth_6 	depth_7 	depth_8 	depth_9 	depth_10 	depth_11 	depth_12 	depth_13 	depth_14 	depth_15 	depth_16 	depth_17
29 	1.257233491008587E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0 	0.0
30 	1.4283201017245807E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0 	0.0
31 	1.52538079083416E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0 	0.0
32 	1.5044861896321923E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0 	0.0
33 	1.398051614980453E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05 	0.0
34 	1.4770432873048143E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05
35 	6781410.4995270455 	0.16984302280396754 	-0.39999999999999997 	-0.4000000000000002 	-0.39999999999999963 	-0.39999999999999986 	-0.3999999999999996 	-0.40000000000000047 	-0.40000000000000047 	0.40000000000000013 	0.28909342666683036 	-0.13683999956658086 	0.3513288679438453 	-0.15210420186826693 	-0.40000000000000063 	-0.13886087950424936 	-0.3999999999999997 	0.0526955236557239 	0.06488838170631883 	-0.011892175761982402 	0.08482752580430458 	-0.15000000000000027 	0.06153488600910326 	0.19803566847975007 	0.15000000000000002 	-0.0027160884465597603 	-0.09729731311440949 	0.14999999999999988 	0.09700547082070568 	0.14999999999999986 	0.18806221557196046 	0.14999999999999997 	-0.14999999999999977 	0.13060538765362742
36 	5653847.7887440035 	0.28344687300181803 	-0.3935088356286242 	-0.4000000000000042 	-0.04498432911893202 	-0.39999999999999986 	-0.29208169334416856 	-0.4000000000000016 	-0.4000000000000212 	0.400000000000001 	0.3438361240049478 	0.026848016299689692 	0.3753525932396364 	0.04567012068526333 	-0.4000000000000016 	0.07703656070789895 	-0.39999999999999936 	0.06498768717510081 	0.031860181298937376 	0.010447318084892037 	0.11719614715779936 	-0.15000000000002175 	0.07759718548350139 	0.22368489365457417 	0.15000000000000047 	0.007409673415532057 	-0.044274813023401846 	0.1500000000000001 	0.11168058472755607 	0.15000000000000002 	0.2186342663065192 	0.14999999999999986 	-0.14999999999999994 	0.1367375597545664
37 	4937327.462657948 	0.3999999999999977 	-0.39999999999999847 	-0.4000000000000158 	0.39999999999999825 	-0.39999999999999747 	0.002030889194398394 	-0.2864582827400931 	-0.40000000000011304 	0.4000000000000038 	0.39999999999999825 	0.2525263119154122 	0.39999999999999825 	0.20890668995635261 	-0.40000000000000924 	0.3999999999999981 	-0.3999999999999988 	0.05072955746235709 	-0.015038609485826977 	0.052514366468025285 	0.13040909549054036 	-0.1500000000001366 	0.09744153094755059 	0.24999999999999925 	0.15000000000000063 	-7.934038542073366E-4 	0.04696503085954286 	0.14654113436468574 	0.10691133920368179 	0.14999999999999925 	0.249999999999999 	0.14999999999999916 	-0.14999999999999936 	0.11653559537502096
-1 	4937327.462657948 	0.3999999999999977 	-0.39999999999999847 	-0.4000000000000158 	0.39999999999999825 	-0.39999999999999747 	0.002030889194398394 	-0.2864582827400931 	-0.40000000000011304 	0.4000000000000038 	0.39999999999999825 	0.2525263119154122 	0.39999999999999825 	0.20890668995635261 	-0.40000000000000924 	0.3999999999999981 	-0.3999999999999988 	0.05072955746235709 	-0.015038609485826977 	0.052514366468025285 	0.13040909549054036 	-0.1500000000001366 	0.09744153094755059 	0.24999999999999925 	0.15000000000000063 	-7.934038542073366E-4 	0.04696503085954286 	0.14654113436468574 	0.10691133920368179 	0.14999999999999925 	0.249999999999999 	0.14999999999999916 	-0.14999999999999936 	0.11653559537502096
