X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-95.5,59.4,"1","0","0","0","0",0.00000000000000,45.00000000000000
-76,59.4,"1","1","0","0","1",19.50000000000000,135.00000000000000
-76,54.6,"1","2","0","0","2",24.30000000000000,225.00000000000000
-95.5,54.6,"1","3","0","0","3",43.80000000000000,315.00000000000000
-95.5,59.4,"1","4","0","0","4",48.60000000000000,45.00000000000000
-95.5,64.3,"2","0","0","0","0",0.00000000000000,45.00000000000000
-89.9,64.3,"2","1","0","0","1",5.59999999999999,135.00000000000000
-89.9,59.4,"2","2","0","0","2",10.49999999999999,225.00000000000000
-95.5,59.4,"2","3","0","0","3",16.09999999999999,315.00000000000000
-95.5,64.3,"2","4","0","0","4",20.99999999999999,45.00000000000000
-85.6,64.3,"3","0","0","0","0",0.00000000000000,225.00000000000000
-89.9,64.3,"3","1","0","0","1",4.30000000000001,315.00000000000000
-89.9,69.0,"3","2","0","0","2",9.00000000000001,45.00000000000000
-85.6,69.0,"3","3","0","0","3",13.30000000000003,135.00000000000000
-85.6,64.3,"3","4","0","0","4",18.00000000000003,225.00000000000000
-89.9,64.3,"4","0","0","0","0",0.00000000000000,45.00000000000000
-85.6,64.3,"4","1","0","0","1",4.30000000000001,135.00000000000000
-85.6,59.4,"4","2","0","0","2",9.20000000000001,225.00000000000000
-89.9,59.4,"4","3","0","0","3",13.50000000000002,315.00000000000000
-89.9,64.3,"4","4","0","0","4",18.40000000000002,45.00000000000000
-85.6,64.3,"5","0","0","0","0",0.00000000000000,45.00000000000000
-81.2,64.3,"5","1","0","0","1",4.39999999999999,135.00000000000000
-81.2,59.4,"5","2","0","0","2",9.29999999999999,225.00000000000000
-85.6,59.4,"5","3","0","0","3",13.69999999999998,315.00000000000000
-85.6,64.3,"5","4","0","0","4",18.59999999999998,45.00000000000000
-85.6,69.0,"6","0","0","0","0",0.00000000000000,225.00000000000000
-94.3,69.0,"6","1","0","0","1",8.70000000000000,315.00000000000000
-94.3,74.0,"6","2","0","0","2",13.70000000000000,45.00000000000000
-85.6,74.0,"6","3","0","0","3",22.40000000000001,135.00000000000000
-85.6,69.0,"6","4","0","0","4",27.40000000000001,225.00000000000000
-85.6,69.0,"7","0","0","0","0",0.00000000000000,45.00000000000000
-72.5,69.0,"7","1","0","0","1",13.10000000000000,135.00000000000000
-72.5,64.3,"7","2","0","0","2",17.80000000000000,225.00000000000000
-85.6,64.3,"7","3","0","0","3",30.89999999999999,315.00000000000000
-85.6,69.0,"7","4","0","0","4",35.60000000000000,45.00000000000000
-76.9,78.85,"8","0","0","0","0",0.00000000000000,45.00000000000000
-68.25,78.85,"8","1","0","0","1",8.65000000000001,135.00000000000000
-68.25,74.0,"8","2","0","0","2",13.50000000000000,225.00000000000000
-76.9,74.0,"8","3","0","0","3",22.15000000000001,315.00000000000000
-76.9,78.85,"8","4","0","0","4",27.00000000000000,45.00000000000000
-68.25,74.0,"9","0","0","0","0",0.00000000000000,45.00000000000000
-59.6,74.0,"9","1","0","0","1",8.65000000000000,135.00000000000000
-59.6,69.1,"9","2","0","0","2",13.55000000000001,135.00000000000000
-55.27,69.1,"9","3","0","0","3",17.88000000000000,135.00000000000000
-55.27,63.9,"9","4","0","0","4",23.08000000000000,225.00000000000000
-63.9,63.9,"9","5","0","0","5",31.71000000000000,315.00000000000000
-63.9,69.1,"9","6","0","0","6",36.90999999999999,315.00000000000000
-68.25,69.1,"9","7","0","0","7",41.25999999999999,315.00000000000000
-68.25,74.0,"9","8","0","0","8",46.16000000000000,45.00000000000000
-81.2,64.3,"10","0","0","0","0",0.00000000000000,45.00000000000000
-76.9,64.3,"10","1","0","0","1",4.30000000000000,135.00000000000000
-76.9,59.4,"10","2","0","0","2",9.20000000000000,225.00000000000000
-81.2,59.4,"10","3","0","0","3",13.49999999999999,315.00000000000000
-81.2,64.3,"10","4","0","0","4",18.39999999999999,45.00000000000000
-76.9,64.3,"11","0","0","0","0",0.00000000000000,45.00000000000000
-72.5,64.3,"11","1","0","0","1",4.40000000000001,135.00000000000000
-72.5,61.0,"11","2","0","0","2",7.70000000000000,225.00000000000000
-76.9,61.0,"11","3","0","0","3",12.10000000000001,315.00000000000000
-76.9,64.3,"11","4","0","0","4",15.40000000000001,45.00000000000000
-68.25,63.9,"12","0","0","0","0",0.00000000000000,45.00000000000000
-63.9,63.9,"12","1","0","0","1",4.35000000000000,135.00000000000000
-63.9,58.0,"12","2","0","0","2",10.25000000000000,225.00000000000000
-68.25,58.0,"12","3","0","0","3",14.60000000000000,315.00000000000000
-68.25,63.9,"12","4","0","0","4",20.50000000000000,45.00000000000000
-59.6,63.9,"13","0","0","0","0",0.00000000000000,45.00000000000000
-50.9,63.9,"13","1","0","0","1",8.70000000000000,135.00000000000000
-50.9,59.4,"13","2","0","0","2",13.20000000000000,225.00000000000000
-59.6,59.4,"13","3","0","0","3",21.90000000000001,315.00000000000000
-59.6,63.9,"13","4","0","0","4",26.40000000000001,45.00000000000000
-68.25,58.0,"15","0","0","0","0",0.00000000000000,225.00000000000000
-72.5,58.0,"15","1","0","0","1",4.25000000000000,315.00000000000000
