X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-81.2,54.6,"6","0","0","0","0",0.00000000000000,44.98462978732383
-78,54.6017168693995,"6","1","0","0","1",3.20000046056880,134.98462978732383
-78,51,"6","2","0","0","2",6.80171732996830,225.00000000000000
-81.2,51.0,"6","3","0","0","3",10.00171732996830,315.00000000000000
-81.2,54.6,"6","4","0","0","4",13.60171732996831,44.98462978732383
-85.6,64.3,"7","0","0","0","0",0.00000000000000,315.00000000000000
-85.6,69.0,"7","1","0","0","1",4.70000000000000,45.00000000000000
-76.9,69.0,"7","2","0","0","2",13.39999999999999,135.00000000000000
-76.9,54.6,"7","3","0","0","3",27.79999999999999,225.00000000000000
-81.2,54.6,"7","4","0","0","4",32.09999999999999,315.00000000000000
-81.2,64.3,"7","5","0","0","5",41.79999999999999,315.00000000000000
-85.6,64.3,"7","6","0","0","6",46.19999999999998,315.00000000000000
-85.6,69.0,"8","0","0","0","0",0.00000000000000,225.00000000000000
-94.3,69.0,"8","1","0","0","1",8.70000000000000,315.00000000000000
-94.3,74.0,"8","2","0","0","2",13.70000000000000,45.00000000000000
-85.6,74.0,"8","3","0","0","3",22.40000000000001,135.00000000000000
-85.6,69.0,"8","4","0","0","4",27.40000000000001,225.00000000000000
-85.6,69.0,"9","0","0","0","0",0.00000000000000,315.00000000000000
-85.6,74.0,"9","1","0","0","1",5.00000000000000,45.00000000000000
-81.2,74.0,"9","2","0","0","2",9.39999999999999,135.00000000000000
-81.2,69.0,"9","3","0","0","3",14.39999999999999,225.00000000000000
-85.6,69.0,"9","4","0","0","4",18.79999999999998,315.00000000000000
-76.9,69.0,"10","0","0","0","0",0.00000000000000,45.00000000000000
-72.5,69.0,"10","1","0","0","1",4.40000000000001,135.00000000000000
-72.5,64.3,"10","2","0","0","2",9.10000000000001,225.00000000000000
-76.9,64.3,"10","3","0","0","3",13.50000000000002,315.00000000000000
-76.9,69.0,"10","4","0","0","4",18.20000000000002,45.00000000000000
-72.5,64.3,"11","0","0","0","0",0.00000000000000,135.00000000000000
-72.5,61.0,"11","1","0","0","1",3.30000000000000,225.00000000000000
-76.9,61.0,"11","2","0","0","2",7.70000000000000,315.00000000000000
-76.9,64.3,"11","3","0","0","3",11.00000000000000,45.00000000000000
-72.5,64.3,"11","4","0","0","4",15.40000000000001,135.00000000000000
-72.5,64.3,"12","0","0","0","0",0.00000000000000,45.00000000000000
-68.25,64.3,"12","1","0","0","1",4.25000000000000,135.00000000000000
-68.25,58.0,"12","2","0","0","2",10.55000000000000,225.00000000000000
-72.5,58.0,"12","3","0","0","3",14.80000000000000,315.00000000000000
-72.5,64.3,"12","4","0","0","4",21.10000000000000,45.00000000000000
-68.25,63.9,"13","0","0","0","0",0.00000000000000,45.00000000000000
-63.9,63.9,"13","1","0","0","1",4.35000000000000,135.00000000000000
-63.9,58.0,"13","2","0","0","2",10.25000000000000,225.00000000000000
-68.25,58.0,"13","3","0","0","3",14.60000000000000,315.00000000000000
-68.25,63.9,"13","4","0","0","4",20.50000000000000,45.00000000000000
-63.9,63.9,"14","0","0","0","0",0.00000000000000,45.00000000000000
-59.6,63.9,"14","1","0","0","1",4.30000000000000,135.00000000000000
-59.6,59.4,"14","2","0","0","2",8.80000000000000,225.00000000000000
-63.9,59.4,"14","3","0","0","3",13.10000000000000,315.00000000000000
-63.9,63.9,"14","4","0","0","4",17.60000000000000,45.00000000000000
-50.9,69.1,"15","0","0","0","0",0.00000000000000,135.00000000000000
-50.9,59.4,"15","1","0","0","1",9.70000000000000,225.00000000000000
-55.25,59.4,"15","2","0","0","2",14.05000000000000,315.00000000000000
-55.25,63.9,"15","3","0","0","3",18.55000000000000,315.00000000000000
-59.6,63.9,"15","4","0","0","4",22.90000000000000,315.00000000000000
-59.6,69.1,"15","5","0","0","5",28.10000000000000,45.00000000000000
-50.9,69.1,"15","6","0","0","6",36.80000000000000,135.00000000000000
