Iteration   Cost 	bf_1 	bf_2 	bf_3 	bf_4 	bf_5 	bf_6 	bf_7 	bf_8 	bf_9 	bf_10 	bf_11 	bf_12 	depth_1 	depth_2 	depth_3 	depth_4 	depth_5 	depth_6 	depth_7 	depth_8 	depth_9 	depth_10 	depth_11 	depth_12 	depth_13 	depth_14 	depth_15 	depth_16 	depth_17
30 	4.982293395492062E7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.05
31 	2.9598912555660926E7 	-0.21103666182845307 	-0.21103666182845246 	-0.2110366618284536 	-0.061295748792118965 	0.21103666182845277 	0.21103666182845313 	0.21103666182845351 	0.21103666182845304 	-0.21103666182845304 	-0.21103666182845182 	0.21103666182845315 	-0.21103666182845393 	-0.10551833091422642 	-0.10551833091422641 	-0.10551833091422658 	0.10551833091422624 	-0.08967403244771514 	0.002945524931330521 	0.047801254722548155 	-0.0993240255688888 	0.05759437547255345 	-0.08943256896772672 	0.10551833091422641 	0.10551833091422669 	-0.10551833091422645 	-0.011015333531033789 	-0.10551833091422612 	-0.04009685755519857 	0.05032142742772638
32 	2.3595010151013575E7 	-0.4000000000000012 	-0.3328779970331015 	-0.4000000000000009 	-0.02883303475726952 	0.40000000000000113 	0.400000000000001 	0.4000000000000008 	0.40000000000000047 	-0.4 	-0.4000000000000006 	0.400000000000001 	-0.4000000000000019 	-0.20000000000000018 	-0.1999999999999997 	-0.2000000000000005 	0.20000000000000065 	-0.20000000000000015 	0.017380172090459587 	0.12959517101332457 	-0.1216400625204302 	0.17830466272795453 	-0.19999999999999976 	0.20000000000000037 	-0.20000000000000007 	-0.164725687715025 	-0.18060591828751857 	-0.20000000000000023 	-0.15012416555707478 	0.1577487441887916
33 	2.4339196740495145E7 	-0.3999999999999948 	-0.3723347654665358 	-0.40000000000000396 	-0.05685453234757329 	0.4000000000000307 	0.40000000000006175 	0.4000000000000066 	0.39999999999999836 	-0.39999999999999636 	-0.39999999999999536 	0.3999999999999996 	-0.40000000000031677 	-0.19999999999999982 	-0.1999999999999982 	-0.1999999999999989 	0.2000000000001513 	-0.1977186760716792 	0.0167899447947474 	0.12681378326141682 	-0.12005675130407593 	0.1690095210962604 	-0.1856809323907342 	0.20000000000003856 	-0.15779367882930354 	-0.18179915881056455 	-0.17327784198576604 	-0.17466752788992712 	-0.18469161620543106 	0.16080726540081836
34 	2.3956934771662533E7 	-0.39999999999999847 	-0.3526063812498186 	-0.400000000000003 	-0.042843783552421424 	0.400000000000016 	0.40000000000003194 	0.4000000000000039 	0.3999999999999989 	-0.39999999999999836 	-0.39999999999999786 	0.40000000000000085 	-0.40000000000015945 	-0.2 	-0.19999999999999896 	-0.19999999999999976 	0.20000000000007617 	-0.1988593380358397 	0.01708505844260348 	0.12820447713737088 	-0.12084840691225314 	0.1736570919121077 	-0.19284046619536674 	0.20000000000001938 	-0.17889683941465173 	-0.17326242326279462 	-0.17694188013664197 	-0.18733376394496365 	-0.16740789088125285 	0.1592780047948048
35 	2.3773010873220127E7 	-0.3999999999999994 	-0.34274218914145993 	-0.40000000000000185 	-0.03583840915484548 	0.40000000000000835 	0.40000000000001645 	0.4000000000000026 	0.39999999999999997 	-0.399999999999999 	-0.39999999999999925 	0.4000000000000009 	-0.4000000000000807 	-0.20000000000000015 	-0.19999999999999934 	-0.20000000000000012 	0.20000000000003837 	-0.19942966901791986 	0.01723261526653153 	0.12889982407534772 	-0.12124423471634169 	0.17598087732003115 	-0.19642023309768325 	0.20000000000000995 	-0.18944841970732607 	-0.1689940554889098 	-0.1787738992120803 	-0.19366688197248197 	-0.15876602821916375 	0.15851337449179823
36 	2.3683564141419362E7 	-0.40000000000000047 	-0.33781009308728066 	-0.40000000000000135 	-0.032335721956057495 	0.4000000000000047 	0.40000000000000885 	0.4000000000000018 	0.4000000000000002 	-0.3999999999999995 	-0.4 	0.4000000000000011 	-0.4000000000000412 	-0.20000000000000015 	-0.1999999999999995 	-0.20000000000000037 	0.2000000000000195 	-0.19971483450896002 	0.017306393678495565 	0.12924749754433607 	-0.12144214861838591 	0.17714277002399278 	-0.19821011654884155 	0.20000000000000517 	-0.19472420985366298 	-0.1668598716019674 	-0.17968990874979945 	-0.19683344098624111 	-0.15444509688811925 	0.15813105934029492
37 	2.3639194863972303E7 	-0.40000000000000074 	-0.3353440450601911 	-0.40000000000000113 	-0.03058437835666351 	0.4000000000000029 	0.4000000000000049 	0.4000000000000012 	0.40000000000000036 	-0.3999999999999999 	-0.40000000000000036 	0.40000000000000097 	-0.40000000000002156 	-0.20000000000000018 	-0.19999999999999962 	-0.2000000000000004 	0.20000000000001003 	-0.19985741725448017 	0.017343282884477576 	0.12942133427883035 	-0.12154110556940807 	0.17772371637597364 	-0.19910505827442065 	0.20000000000000276 	-0.19736210492683157 	-0.16579277965849618 	-0.180147913518659 	-0.1984167204931207 	-0.15228463122259703 	0.15793990176454323
38 	2.359366879661843E7 	-0.4000000000000012 	-0.3328009330322549 	-0.4000000000000008 	-0.028778305269788453 	0.40000000000000113 	0.40000000000000085 	0.40000000000000074 	0.4000000000000004 	-0.4 	-0.40000000000000063 	0.4000000000000009 	-0.40000000000000124 	-0.20000000000000018 	-0.19999999999999968 	-0.20000000000000048 	0.20000000000000037 	-0.20000445571079767 	0.01738132487814653 	0.12960060341127758 	-0.12164315492514965 	0.17832281730145386 	-0.2000279669289241 	0.20000000000000026 	-0.20008243422103658 	-0.1646923410917915 	-0.18062023093654542 	-0.20004947748459023 	-0.15005665100502724 	0.15774277051454938
39 	2.435716065634476E7 	-0.39999999999989416 	-0.3626613012379139 	-0.3999999999936996 	-0.04806419198464603 	0.4000000000028567 	0.39999999999941815 	0.40000000000474595 	0.4000000000403402 	-0.40000000000116676 	-0.3999999999998081 	0.4000000000004391 	-0.4000000000079464 	-0.1999999999999767 	-0.2000000000001689 	-0.20000000000058193 	0.19999999998885667 	-0.19932950012130946 	0.014313238753808771 	0.12660794477545798 	-0.11815197379606722 	0.1729454611046535 	-0.15049447176396358 	0.19999999997668733 	-0.1267112510286384 	-0.19445702722946243 	-0.1659353969415417 	-0.18608140934155454 	-0.18546879102289615 	0.16069590422216107
40 	2.3298530678814966E7 	-0.4000000000000552 	-0.31787074892942524 	-0.4000000000031516 	-0.019135361912359667 	0.39999999999857394 	0.40000000000029234 	0.3999999999976285 	0.39999999997983 	-0.39999999999941716 	-0.4000000000000969 	0.3999999999997814 	-0.39999999999602825 	-0.2000000000000117 	-0.19999999999991538 	-0.1999999999997093 	0.2000000000055724 	-0.20034193350554247 	0.018915367940315383 	0.13109693272918757 	-0.12338874548969103 	0.18101149539985395 	-0.22479471451140476 	0.20000000001165705 	-0.2367680258172354 	-0.14980999802295553 	-0.18796264793404743 	-0.20703351155610797 	-0.13235058099609281 	0.15626620366074367
