X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-128,68,"1","2","0","0","2",31.00000000000000,45.00000000000000
-128,76,"1","3","0","0","3",39.00000000000000,315.00000000000000
-151,76,"1","4","0","0","4",62.00000000000000,225.00000000000000
-72,67,"16","0","0","0","0",0.00000000000000,135.00000000000000
-72,65,"16","1","0","0","1",2.00000000000000,225.00000000000000
-89,65,"16","2","0","0","2",19.00000000000000,315.00000000000000
-89,67,"16","3","0","0","3",21.00000000000000,45.00000000000000
-72,67,"16","4","0","0","4",38.00000000000000,135.00000000000000
-82.5,67.0,"17","0","0","0","0",0.00000000000000,315.00000000000000
-82.5,70.0,"17","1","0","0","1",3.00000000000000,45.00000000000000
-72,70,"17","2","0","0","2",13.50000000000000,135.00000000000000
-72,67,"17","3","0","0","3",16.50000000000000,225.00000000000000
-82.5,67.0,"17","4","0","0","4",27.00000000000000,315.00000000000000
-83,55,"14","0","0","0","0",0.00000000000000,225.00000000000000
-83,51,"14","1","0","0","1",4.00000000000000,135.00000000000000
-77.5,51.0,"14","2","0","0","2",9.50000000000000,45.00000000000000
-77.5,55.0,"14","3","0","0","3",13.50000000000000,315.00000000000000
-83,55,"14","4","0","0","4",19.00000000000000,225.00000000000000
-70,78,"9","0","0","0","0",0.00000000000000,224.97592063996649
-70,67,"9","1","0","0","1",11.00000000000000,135.00000000000000
-50,67,"9","2","0","0","2",31.00000000000000,45.00000000000000
-50,78.0168105685331,"9","3","0","0","3",42.01681056853313,314.97592063996649
-70,78,"9","4","0","0","4",62.01681763341224,224.97592063996649
-151,76,"2","0","0","0","0",0.00000000000000,315.00000000000000
-151,84.3,"2","1","0","0","1",8.30000000000000,45.00000000000000
-124,84.3,"2","2","0","0","2",35.30000000000000,135.00000000000000
-124,76,"2","3","0","0","3",43.60000000000000,225.00000000000000
-151,76,"2","4","0","0","4",70.59999999999999,315.00000000000000
-128,68,"3","0","0","0","0",0.00000000000000,315.00000000000000
-128,76,"3","1","0","0","1",8.00000000000000,45.00000000000000
-115,76,"3","2","0","0","2",21.00000000000000,135.00000000000000
-115,68,"3","3","0","0","3",29.00000000000000,225.00000000000000
-128,68,"3","4","0","0","4",42.00000000000000,315.00000000000000
