Iteration   Cost 	depth_1 	depth_2 	depth_3 	depth_4 	depth_5 	depth_6 	depth_7 	depth_8 	depth_9 	depth_10 	depth_11 	depth_12 	depth_13 	depth_14 	depth_15 	depth_16 	depth_17 	depth_18 	depth_19 	depth_20 	depth_21 	depth_22 	depth_23 	depth_24
33 	4484149.939585852 	-0.018221925546017294 	0.26012134798339803 	-0.06832023990466243 	0.10231843182803305 	-0.4000000000004304 	-0.009071671110710984 	0.23175117479358207 	-0.0460611705331466 	0.029774463888299213 	0.05322965777923985 	0.1880413903147185 	0.10781360827840543 	0.4000000000000495 	0.1472401582386212 	0.39107676999938634 	-0.1611477443097265 	0.40000000000019487 	-0.2178309431882493 	0.40000000000012925 	-0.6517630472742905 	0.4000000000000202 	0.16386130050454345 	-0.03462023346756305 	0.2487657192829214
34 	4483222.980674075 	-0.016908453979996928 	0.25936764916935345 	-0.0677558868640284 	0.10169354057840614 	-0.4000000000003168 	-0.008928756972261545 	0.23245622305088542 	-0.04619994129464113 	0.028829036404662993 	0.053202811458913354 	0.18716869132548908 	0.10787043952462494 	0.4000000000000391 	0.1412822923971626 	0.39251081237444596 	-0.1611269959241634 	0.40000000000013813 	-0.21182333557421015 	0.4000000000001 	-0.6510704432146064 	0.40000000000001656 	0.16439450107820197 	-0.03466506690064684 	0.24846049999305853
35 	4482843.327781525 	-0.016251718196986748 	0.25899079976233125 	-0.0674737103437114 	0.10138109495359274 	-0.40000000000026004 	-0.008857299903036828 	0.23280874717953726 	-0.04626932667538841 	0.02835632266284489 	0.053189388298750105 	0.18673234183087445 	0.10789885514773465 	0.4000000000000337 	0.1383033594764335 	0.3932278335619758 	-0.16111662173138175 	0.40000000000011005 	-0.2088195317671906 	0.40000000000008545 	-0.6507241411847637 	0.400000000000015 	0.16466110136503126 	-0.034687483617188736 	0.24830789034812734
36 	4482643.504727718 	-0.015923350305481657 	0.25880237505882003 	-0.06733262208355288 	0.10122487214118597 	-0.40000000000023156 	-0.008821571368424475 	0.232985009243863 	-0.04630401936576205 	0.028119965791935816 	0.05318267671866849 	0.18651416708356722 	0.10791306295928954 	0.4000000000000311 	0.13681389301606886 	0.3935863441557408 	-0.16111143463499103 	0.4000000000000961 	-0.20731762986368088 	0.40000000000007824 	-0.650550990169843 	0.40000000000001407 	0.164794401508446 	-0.0346986919754597 	0.2482315855256615
37 	4482550.975163196 	-0.015584720917367036 	0.2586080620833242 	-0.06718712481526443 	0.10106376736589154 	-0.4000000000002024 	-0.008784726317105477 	0.23316677949769904 	-0.04633979620270985 	0.027876222768810865 	0.05317575540170931 	0.18628917437540654 	0.10792771476495555 	0.4000000000000285 	0.13527788072881783 	0.39395605820556084 	-0.161106085441838 	0.40000000000008146 	-0.2057687935256864 	0.40000000000007063 	-0.6503724281857054 	0.4000000000000133 	0.16493186728134232 	-0.03471025059492663 	0.24815289617749378
38 	4487044.288337074 	-0.02084043588507948 	0.2615684754787837 	-0.06941864640095688 	0.10356631144058845 	-0.4000000000006648 	-0.009234367241306187 	0.23032977613305744 	-0.04563148047065529 	0.03169648863752728 	0.05327117523131604 	0.18975557783329317 	0.10770138476465195 	0.4000000000000705 	0.15917723836544967 	0.38817196171947593 	-0.16118446827039568 	0.40000000000031 	-0.22980044882946088 	0.4000000000001937 	-0.6533184588059991 	0.400000000000025 	0.16234898427650482 	-0.03412164848234006 	0.24941535952981714
39 	4481680.390271461 	-0.012956863433510813 	0.25712785538559446 	-0.06607136402241823 	0.09981249532854314 	-0.39999999999997116 	-0.008559905855005122 	0.23458528118001984 	-0.04669395406873713 	0.02596608983445265 	0.05312804548690596 	0.18455597264646317 	0.10804087976510734 	0.40000000000000746 	0.12332820191050181 	0.3968481064486032 	-0.16106689402755914 	0.39999999999996716 	-0.19375296587379925 	0.40000000000000885 	-0.6488994128755585 	0.40000000000000746 	0.16622330878376113 	-0.035004551651219906 	0.2475216645013321
40 	4487636.5336655 	-0.019987065716115776 	0.260476745083612 	-0.0678026336269534 	0.10208299804349788 	-0.40000000000001357 	-0.010584296963563548 	0.2307132795218888 	-0.04523319647912578 	0.03012721923720129 	0.05097417636141435 	0.19137630860664523 	0.1082968174113953 	0.4000000000000321 	0.1595377984137737 	0.38845065853051064 	-0.16251713956543035 	0.4000000000000019 	-0.20983622287108838 	0.38858024117403706 	-0.6504603055357743 	0.4000000000000139 	0.1680264246249456 	-0.036243669688264354 	0.2424569134038751
41 	4480801.490659178 	-0.009441762292208337 	0.2554534105365856 	-0.06520572922015067 	0.09867724397106578 	-0.3999999999999499 	-0.007547710300725907 	0.23652128200908534 	-0.047424332863542806 	0.023885525133078327 	0.05420498004965176 	0.18114580466637212 	0.10791291094196334 	0.39999999999999514 	0.10522340365886587 	0.40104683040764944 	-0.16034177125862353 	0.3999999999999497 	-0.18571133737515466 	0.40570987941299463 	-0.6481189665454504 	0.40000000000000424 	0.16532175086316886 	-0.03438499263269769 	0.2500540400500605
42 	4464643.557982403 	-0.016489220948189616 	0.25730937984053126 	-0.06840275082725367 	0.10358384893065234 	-0.4000000000000207 	-0.010845405452167792 	0.23056855295404818 	-0.07566311765943362 	0.03518323500053243 	0.051048719235786674 	0.18734850889890647 	0.10591302813751667 	0.4000000000000047 	0.16628564501338405 	0.39068761993929757 	-0.15783384251953747 	0.39999999999999825 	-0.24492819558837078 	0.4114197588261308 	-0.639965791039157 	0.4000000000000056 	0.16575386963494476 	-0.03380999020382444 	0.2598762586396898
-1 	4464643.557982403 	-0.016489220948189616 	0.25730937984053126 	-0.06840275082725367 	0.10358384893065234 	-0.4000000000000207 	-0.010845405452167792 	0.23056855295404818 	-0.07566311765943362 	0.03518323500053243 	0.051048719235786674 	0.18734850889890647 	0.10591302813751667 	0.4000000000000047 	0.16628564501338405 	0.39068761993929757 	-0.15783384251953747 	0.39999999999999825 	-0.24492819558837078 	0.4114197588261308 	-0.639965791039157 	0.4000000000000056 	0.16575386963494476 	-0.03380999020382444 	0.2598762586396898
