Iteration   Cost 	bf_1 	bf_2 	bf_3 	bf_4 	bf_5 	bf_6 	bf_7 	bf_8 	bf_9 	bf_10 	bf_11 	bf_12 	bf_13 	bf_14 	bf_15 	bf_16
13 	4734384.043101867 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0
14 	4765483.56152122 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0
15 	4798392.927359104 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0
16 	4841591.975521883 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0
17 	4863634.6852258025 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2
18 	4792506.387924067 	-0.05608715232692651 	-0.12125946373666126 	-0.6198824260897978 	-0.41247806003798737 	-0.9 	0.08479796723292414 	0.4310258014529706 	-0.344855895994492 	1.5 	-0.5641093445817973 	0.3992739441667653 	0.9739696540685101 	-0.08474661897733006 	0.054731234685842095 	1.5 	-0.9
19 	4294920.735216958 	-0.028043576163463254 	-0.06062973186833063 	-0.3099412130448989 	-0.20623903001899369 	-0.45 	0.04239898361646207 	0.2155129007264853 	-0.172427947997246 	0.75 	-0.28205467229089864 	0.19963697208338266 	0.5869848270342551 	-0.04237330948866503 	0.027365617342921048 	0.75 	-0.45
20 	4454186.636994766 	-0.08687423533461405 	-0.08375262798925516 	-0.3566923640423931 	-0.18554485130446957 	-0.9000000000000007 	0.07390588226714065 	0.389901707015505 	-0.26529017399778676 	1.4999999999999998 	-0.12338293684881547 	0.501032354496251 	1.1149588087521969 	-0.17896336046749076 	0.27614336985530974 	1.4999999999999998 	-0.9000000000000005
21 	4199733.5823864555 	-0.057458905749038655 	-0.07219117992879291 	-0.33331678854364605 	-0.19589194066173157 	-0.6750000000000004 	0.05815243294180139 	0.302707303870995 	-0.21885906099751648 	1.125 	-0.20271880456985733 	0.35033466328981694 	0.8509718178932262 	-0.1106683349780779 	0.15175449359911536 	1.125 	-0.6750000000000002
22 	4444833.69155832 	-0.07394244800803546 	-0.07830144167254449 	-0.4120273295092981 	-0.1904322533920593 	-0.900000000000001 	0.07217526718405301 	0.4054044287327471 	-0.22911913701921227 	1.5000000000000067 	-0.2103885414669382 	0.5240004010682633 	1.1640867604023228 	-0.19438813117931458 	0.33380573105132677 	1.5000000000000075 	-0.9000000000000041
23 	4213888.620362555 	-0.06570067687853706 	-0.07524631080066875 	-0.3726720590264722 	-0.19316209702689546 	-0.7875000000000004 	0.0651638500629272 	0.35405586630187125 	-0.2239890990083644 	1.3125000000000033 	-0.2065536730183977 	0.43716753217904014 	1.0075292891477745 	-0.15252823307869628 	0.24278011232522104 	1.3125000000000038 	-0.787500000000002
24 	4194204.6192335924 	-0.06157979131378785 	-0.07371874536473084 	-0.352994423785059 	-0.19452701884431353 	-0.7312500000000006 	0.061658141502364296 	0.328381585086433 	-0.2214240800029404 	1.2187500000000018 	-0.20463623879412757 	0.39375109773442846 	0.9292505535205005 	-0.13159828402838708 	0.19726730296216816 	1.2187500000000018 	-0.7312500000000011
-1 	4194204.6192335924 	-0.06157979131378785 	-0.07371874536473084 	-0.352994423785059 	-0.19452701884431353 	-0.7312500000000006 	0.061658141502364296 	0.328381585086433 	-0.2214240800029404 	1.2187500000000018 	-0.20463623879412757 	0.39375109773442846 	0.9292505535205005 	-0.13159828402838708 	0.19726730296216816 	1.2187500000000018 	-0.7312500000000011
